weapon,attack,targets,skaven_slave,skaven_clan_rat_with_shield,skaven_clan_rat,skaven_loot_rat,chaos_zombie,chaos_fanatic,chaos_marauder_with_shield,chaos_marauder,skaven_storm_vermin_with_shield,skaven_storm_vermin_commander,skaven_storm_vermin,skaven_plague_monk,chaos_berzerker,chaos_raider,chaos_warrior,skaven_gutter_runner,skaven_ratling_gunner,skaven_warpfire_thrower,skaven_poison_wind_globadier,skaven_pack_master,chaos_tentacle_sorcerer,chaos_corruptor_sorcerer,chaos_plague_sorcerer,chaos_vortex_sorcerer,chaos_tentacle,
Dwarf_dual_wield_axes_template_1,light_attack_left,1+,0,0.33,0.33,0.11,0.33,0.60,0.16,0.16,0.03,0.09,0.09,0.05,0.09,0.14,0.03,0.07,0.01,0.01,0.07,0.12,0.06,0.09,0.11,0.14,0.02,
Dwarf_dual_wield_axes_template_1,light_attack_right,1+,0,0.33,0.33,0.11,0.33,0.60,0.16,0.16,0.03,0.09,0.09,0.05,0.09,0.14,0.03,0.07,0.01,0.01,0.07,0.12,0.06,0.09,0.11,0.14,0.02,
Dwarf_dual_wield_axes_template_1,light_attack_back_left,1+,0,0.33,0.33,0.11,0.33,0.60,0.16,0.16,0.03,0.09,0.09,0.05,0.09,0.14,0.03,0.07,0.01,0.01,0.07,0.12,0.06,0.09,0.11,0.14,0.02,
Dwarf_dual_wield_axes_template_1,light_attack_back_right,1+,0,0.33,0.33,0.11,0.33,0.60,0.16,0.16,0.03,0.09,0.09,0.05,0.09,0.14,0.03,0.07,0.01,0.01,0.07,0.12,0.06,0.09,0.11,0.14,0.02,
Dwarf_dual_wield_axes_template_1,light_attack_bopp,1+,0,0.07,0.07,0.07,0.07,0.29,0.39,0.39,0.27,0.24,0.24,0.24,0.03,0.07,0.09,0.29,0.14,0.14,0.07,0.19,0.11,0.14,0.07,0.07,0.08,
Dwarf_dual_wield_axes_template_1,heavy_attack_2,1+,0,0.07,0.07,0.07,0.07,0.29,0.39,0.39,0.27,0.24,0.24,0.24,0.03,0.07,0.09,0.29,0.14,0.14,0.07,0.19,0.11,0.14,0.07,0.07,0.08,
Dwarf_dual_wield_axes_template_1,heavy_attack,1+,0,0.07,0.07,0.07,0.07,0.29,0.39,0.39,0.27,0.24,0.24,0.24,0.03,0.07,0.09,0.29,0.14,0.14,0.07,0.19,0.11,0.14,0.07,0.07,0.08,
Dwarf_dual_wield_axes_template_1,heavy_attack_3,1+,0,0.07,0.07,0.07,0.07,0.29,0.39,0.39,0.27,0.24,0.24,0.24,0.03,0.07,0.09,0.29,0.14,0.14,0.07,0.19,0.11,0.14,0.07,0.07,0.08,
Dwarf_one_hand_axe_shield_template_1,light_attack_left,1+,0,0.13,0.13,0.13,0.13,0.36,0.47,0.47,0.33,0.30,0.30,0.04,0.08,0.13,0.14,0.36,0.20,0.20,0.13,0.27,0.17,0.20,0.13,0.13,0.04,
Dwarf_one_hand_axe_shield_template_1,light_attack_right,1+,0,0.13,0.13,0.13,0.13,0.36,0.47,0.47,0.33,0.30,0.30,0.04,0.08,0.13,0.14,0.36,0.20,0.20,0.13,0.27,0.17,0.20,0.13,0.13,0.04,
Dwarf_one_hand_axe_shield_template_1,light_attack_last,1+,0,0.13,0.13,0.13,0.13,0.36,0.47,0.47,0.33,0.30,0.30,0.04,0.08,0.13,0.14,0.36,0.20,0.20,0.13,0.27,0.17,0.20,0.13,0.13,0.04,
Dwarf_one_hand_axe_shield_template_1,light_attack_bopp,1+,0,0.13,0.13,0.13,0.13,0.36,0.47,0.47,0.33,0.30,0.30,0.04,0.08,0.13,0.14,0.36,0.20,0.20,0.13,0.27,0.17,0.20,0.13,0.13,0.04,
Dwarf_one_hand_axe_shield_template_1,heavy_attack,1+,0,0.76,0.76,0.10,0.76,0.06,0.15,0.15,0.05,0.02,0.02,0.04,0.08,0.06,0.05,0.06,0.06,0.06,0.01,0.10,0.12,0.07,0.10,0.06,0.00,
Dwarf_one_hand_axe_shield_template_1,heavy_attack_left,1+,0,0,0,0.03,0,0,0.07,0.07,0.38,0.34,0.34,0.26,0.31,0.23,0.10,0.97,0.24,0.24,0.10,0.38,0.27,0.09,0.03,0.23,0.07,
Dwarf_one_hand_axe_shield_template_1,heavy_attack_right,1+,0,0,0,0.03,0,0,0.07,0.07,0.38,0.34,0.34,0.26,0.31,0.23,0.10,0.97,0.24,0.24,0.10,0.38,0.27,0.09,0.03,0.23,0.07,
Dwarf_one_hand_axe_template_2,light_attack_left,1+,0,0.13,0.13,0.13,0.13,0.36,0.47,0.47,0.33,0.30,0.30,0.04,0.08,0.13,0.14,0.36,0.20,0.20,0.13,0.27,0.17,0.20,0.13,0.13,0.04,
Dwarf_one_hand_axe_template_2,light_attack_right,1+,0,0.13,0.13,0.13,0.13,0.36,0.47,0.47,0.33,0.30,0.30,0.04,0.08,0.13,0.14,0.36,0.20,0.20,0.13,0.27,0.17,0.20,0.13,0.13,0.04,
Dwarf_one_hand_axe_template_2,light_attack_last,1+,0,0.13,0.13,0.13,0.13,0.36,0.47,0.47,0.33,0.30,0.30,0.04,0.08,0.13,0.14,0.36,0.20,0.20,0.13,0.27,0.17,0.20,0.13,0.13,0.04,
Dwarf_one_hand_axe_template_2,light_attack_bopp,1+,0,0.13,0.13,0.13,0.13,0.36,0.47,0.47,0.33,0.30,0.30,0.04,0.08,0.13,0.14,0.36,0.20,0.20,0.13,0.27,0.17,0.20,0.13,0.13,0.04,
Dwarf_one_hand_axe_template_2,heavy_attack_left,1+,0,0,0,0.03,0,0,0.07,0.07,0.38,0.34,0.34,0.26,0.31,0.23,0.10,0.97,0.24,0.24,0.10,0.38,0.27,0.09,0.03,0.23,0.07,
Dwarf_one_hand_axe_template_2,heavy_attack_right,1+,0,0,0,0.03,0,0,0.07,0.07,0.38,0.34,0.34,0.26,0.31,0.23,0.10,0.97,0.24,0.24,0.10,0.38,0.27,0.09,0.03,0.23,0.07,
Dwarf_one_handed_hammer_shield_template_2,light_attack_left,1,0,0.76,0.76,0.10,0.76,0.06,0.15,0.15,0,0,0,0.02,0.06,0.06,0,0.06,0,0,0.01,0.10,0.03,0.01,0.10,0.06,0.00,
Dwarf_one_handed_hammer_shield_template_2,light_attack_left,2,0.76,0.18,0.18,0.04,0.18,0.06,0.02,0.02,0,0,0,0.02,0.06,0.01,0,0.06,0,0,0.01,0.04,0.03,0.01,0.04,0.01,0.00,
Dwarf_one_handed_hammer_shield_template_2,light_attack_left,3+,0.36,0.09,0.09,0.01,0.09,0.09,0.01,0.01,0,0,0,0.05,0.03,0.02,0,0.01,0,0,0.04,0.01,0.06,0.04,0.01,0.02,0.01,
