weapon,attack,targets,skaven_slave,skaven_clan_rat_with_shield,skaven_clan_rat,skaven_loot_rat,chaos_zombie,chaos_fanatic,chaos_marauder_with_shield,chaos_marauder,skaven_storm_vermin_with_shield,skaven_storm_vermin_commander,skaven_storm_vermin,skaven_plague_monk,chaos_berzerker,chaos_raider,chaos_warrior,skaven_gutter_runner,skaven_ratling_gunner,skaven_warpfire_thrower,skaven_poison_wind_globadier,skaven_pack_master,chaos_tentacle_sorcerer,chaos_corruptor_sorcerer,chaos_plague_sorcerer,chaos_vortex_sorcerer,chaos_tentacle,
Dwarf_dual_wield_axes_template_1,light_attack_left,1+,0,0.07,0.07,0.07,0.07,0.29,0.39,0.39,0.27,0.24,0.24,0.24,0.29,0.07,0.09,0.29,0.14,0.14,0.07,0.49,0.25,0.07,0.07,0.07,0.01,
Dwarf_dual_wield_axes_template_1,light_attack_right,1+,0,0.07,0.07,0.07,0.07,0.29,0.39,0.39,0.27,0.24,0.24,0.24,0.29,0.07,0.09,0.29,0.14,0.14,0.07,0.49,0.25,0.07,0.07,0.07,0.01,
Dwarf_dual_wield_axes_template_1,light_attack_back_left,1+,0,0.07,0.07,0.07,0.07,0.29,0.39,0.39,0.27,0.24,0.24,0.24,0.29,0.07,0.09,0.29,0.14,0.14,0.07,0.49,0.25,0.07,0.07,0.07,0.01,
Dwarf_dual_wield_axes_template_1,light_attack_back_right,1+,0,0.07,0.07,0.07,0.07,0.29,0.39,0.39,0.27,0.24,0.24,0.24,0.29,0.07,0.09,0.29,0.14,0.14,0.07,0.49,0.25,0.07,0.07,0.07,0.01,
Dwarf_dual_wield_axes_template_1,light_attack_bopp,1+,0,0,0,0.07,0,0.03,0.11,0.11,0.01,0.47,0.47,0.49,0.03,0.03,0.01,0.03,0.36,0.36,0.14,0.19,1.00,0.14,0.07,0.03,0.08,
Dwarf_dual_wield_axes_template_1,heavy_attack_2,1+,0,0,0,0.07,0,0.03,0.11,0.11,0.01,0.47,0.47,0.49,0.03,0.03,0.01,0.03,0.36,0.36,0.14,0.19,1.00,0.14,0.07,0.03,0.08,
Dwarf_dual_wield_axes_template_1,heavy_attack,1+,0,0,0,0.07,0,0.03,0.11,0.11,0.01,0.47,0.47,0.49,0.03,0.03,0.01,0.03,0.36,0.36,0.14,0.19,1.00,0.14,0.07,0.03,0.08,
Dwarf_dual_wield_axes_template_1,heavy_attack_3,1+,0,0,0,0.07,0,0.03,0.11,0.11,0.01,0.47,0.47,0.49,0.03,0.03,0.01,0.03,0.36,0.36,0.14,0.19,1.00,0.14,0.07,0.03,0.08,
Dwarf_one_hand_axe_shield_template_1,light_attack_left,1+,0,0,0,0.14,0,0.09,0.18,0.18,0.09,0.06,0.06,0.05,0.09,0.09,0.09,0.09,0.47,0.47,0.21,0.26,0.06,0.21,0.14,0.09,0.15,
Dwarf_one_hand_axe_shield_template_1,light_attack_right,1+,0,0,0,0.14,0,0.09,0.18,0.18,0.09,0.06,0.06,0.05,0.09,0.09,0.09,0.09,0.47,0.47,0.21,0.26,0.06,0.21,0.14,0.09,0.15,
Dwarf_one_hand_axe_shield_template_1,light_attack_last,1+,0,0,0,0.14,0,0.09,0.18,0.18,0.09,0.06,0.06,0.05,0.09,0.09,0.09,0.09,0.47,0.47,0.21,0.26,0.06,0.21,0.14,0.09,0.15,
Dwarf_one_hand_axe_shield_template_1,light_attack_bopp,1+,0,0,0,0.14,0,0.09,0.18,0.18,0.09,0.06,0.06,0.05,0.09,0.09,0.09,0.09,0.47,0.47,0.21,0.26,0.06,0.21,0.14,0.09,0.15,
Dwarf_one_hand_axe_shield_template_1,heavy_attack,1+,0,0.43,0.43,0.02,0.43,0.71,0.24,0.24,0.09,0.06,0.06,0.24,0.03,0.07,0.02,0.14,0.14,0.14,0.14,0.20,0.11,0.14,0.02,0.07,0.02,
