weapon,attack,targets,skaven_slave,skaven_clan_rat_with_shield,skaven_clan_rat,skaven_loot_rat,chaos_zombie,chaos_fanatic,chaos_marauder_with_shield,chaos_marauder,skaven_storm_vermin_with_shield,skaven_storm_vermin_commander,skaven_storm_vermin,skaven_plague_monk,chaos_berzerker,chaos_raider,chaos_warrior,skaven_gutter_runner,skaven_ratling_gunner,skaven_warpfire_thrower,skaven_poison_wind_globadier,skaven_pack_master,chaos_tentacle_sorcerer,chaos_corruptor_sorcerer,chaos_plague_sorcerer,chaos_vortex_sorcerer,chaos_tentacle,
Dwarf_dual_wield_axes_template_1,light_attack_left,1+,0,0,0,0.12,0,0.07,0.16,0.16,0.14,0.11,0.11,0.02,0.06,0.07,0.07,0.07,0.03,0.03,0.19,0.49,0.03,0.01,0.12,0.07,0.01,
Dwarf_dual_wield_axes_template_1,light_attack_right,1+,0,0,0,0.12,0,0.07,0.16,0.16,0.14,0.11,0.11,0.02,0.06,0.07,0.07,0.07,0.03,0.03,0.19,0.49,0.03,0.01,0.12,0.07,0.01,
Dwarf_dual_wield_axes_template_1,light_attack_back_left,1+,0,0,0,0.12,0,0.07,0.16,0.16,0.14,0.11,0.11,0.02,0.06,0.07,0.07,0.07,0.03,0.03,0.19,0.49,0.03,0.01,0.12,0.07,0.01,
Dwarf_dual_wield_axes_template_1,light_attack_back_right,1+,0,0,0,0.12,0,0.07,0.16,0.16,0.14,0.11,0.11,0.02,0.06,0.07,0.07,0.07,0.03,0.03,0.19,0.49,0.03,0.01,0.12,0.07,0.01,
Dwarf_dual_wield_axes_template_1,light_attack_bopp,1+,0,0,0,0.19,0,0,0.86,0.86,0.27,0.24,0.24,0.10,0.14,0.07,0.02,0.71,0.14,0.14,0.43,0.19,0.11,0.27,0.19,0.07,0.08,
Dwarf_dual_wield_axes_template_1,heavy_attack_2,1+,0,0,0,0.19,0,0,0.86,0.86,0.27,0.24,0.24,0.10,0.14,0.07,0.02,0.71,0.14,0.14,0.43,0.19,0.11,0.27,0.19,0.07,0.08,
Dwarf_dual_wield_axes_template_1,heavy_attack,1+,0,0,0,0.19,0,0,0.86,0.86,0.27,0.24,0.24,0.10,0.14,0.07,0.02,0.71,0.14,0.14,0.43,0.19,0.11,0.27,0.19,0.07,0.08,
Dwarf_dual_wield_axes_template_1,heavy_attack_3,1+,0,0,0,0.19,0,0,0.86,0.86,0.27,0.24,0.24,0.10,0.14,0.07,0.02,0.71,0.14,0.14,0.43,0.19,0.11,0.27,0.19,0.07,0.08,
Dwarf_one_hand_axe_shield_template_1,light_attack_left,1+,0,0,0,0.27,0,0,0.97,0.97,0.36,0.32,0.32,0.18,0.22,0.14,0.08,0.82,0.22,0.22,0.01,0.26,0.19,0.02,0.27,0.14,0.15,
Dwarf_one_hand_axe_shield_template_1,light_attack_right,1+,0,0,0,0.27,0,0,0.97,0.97,0.36,0.32,0.32,0.18,0.22,0.14,0.08,0.82,0.22,0.22,0.01,0.26,0.19,0.02,0.27,0.14,0.15,
Dwarf_one_hand_axe_shield_template_1,light_attack_last,1+,0,0,0,0.27,0,0,0.97,0.97,0.36,0.32,0.32,0.18,0.22,0.14,0.08,0.82,0.22,0.22,0.01,0.26,0.19,0.02,0.27,0.14,0.15,
Dwarf_one_hand_axe_shield_template_1,light_attack_bopp,1+,0,0,0,0.27,0,0,0.97,0.97,0.36,0.32,0.32,0.18,0.22,0.14,0.08,0.82,0.22,0.22,0.01,0.26,0.19,0.02,0.27,0.14,0.15,
Dwarf_one_hand_axe_shield_template_1,heavy_attack,1+,0,0.20,0.20,0.20,0.20,0.44,0.04,0.04,0.07,0.04,0.04,0.09,0.14,0.03,0.07,0.44,0.15,0.15,0.20,0.20,0.23,0.05,0.20,0.03,0.02,
Dwarf_one_hand_axe_shield_template_1,heavy_attack_left,1+,0,0,0,0.38,0,0,0.43,0.43,0.84,0.79,0.79,0.27,0.32,0.10,0.23,0.32,0.66,0.66,0.10,0.83,0.71,0.46,0.38,0.10,0.25,
Dwarf_one_hand_axe_shield_template_1,heavy_attack_right,1+,0,0,0,0.38,0,0,0.43,0.43,0.84,0.79,0.79,0.27,0.32,0.10,0.23,0.32,0.66,0.66,0.10,0.83,0.71,0.46,0.38,0.10,0.25,
Dwarf_one_hand_axe_template_2,light_attack_left,1+,0,0,0,0.27,0,0,0.97,0.97,0.36,0.32,0.32,0.18,0.22,0.14,0.08,0.82,0.22,0.22,0.01,0.26,0.19,0.02,0.27,0.14,0.15,
Dwarf_one_hand_axe_template_2,light_attack_right,1+,0,0,0,0.27,0,0,0.97,0.97,0.36,0.32,0.32,0.18,0.22,0.14,0.08,0.82,0.22,0.22,0.01,0.26,0.19,0.02,0.27,0.14,0.15,
Dwarf_one_hand_axe_template_2,light_attack_last,1+,0,0,0,0.27,0,0,0.97,0.97,0.36,0.32,0.32,0.18,0.22,0.14,0.08,0.82,0.22,0.22,0.01,0.26,0.19,0.02,0.27,0.14,0.15,
Dwarf_one_hand_axe_template_2,light_attack_bopp,1+,0,0,0,0.27,0,0,0.97,0.97,0.36,0.32,0.32,0.18,0.22,0.14,0.08,0.82,0.22,0.22,0.01,0.26,0.19,0.02,0.27,0.14,0.15,
Dwarf_one_hand_axe_template_2,heavy_attack_left,1+,0,0,0,0.38,0,0,0.43,0.43,0.84,0.79,0.79,0.27,0.32,0.10,0.23,0.32,0.66,0.66,0.10,0.83,0.71,0.46,0.38,0.10,0.25,
Dwarf_one_hand_axe_template_2,heavy_attack_right,1+,0,0,0,0.38,0,0,0.43,0.43,0.84,0.79,0.79,0.27,0.32,0.10,0.23,0.32,0.66,0.66,0.10,0.83,0.71,0.46,0.38,0.10,0.25,
Dwarf_one_handed_hammer_shield_template_2,light_attack_left,1,0,0.02,0.02,0.02,0.02,0.22,0.32,0.32,0,0,0,0.18,0.22,0.02,0,0.22,0,0,0.02,0.02,0.19,0.02,0.02,0.02,0.07,
Dwarf_one_handed_hammer_shield_template_2,light_attack_left,2,0.20,0.20,0.20,0.09,0.20,0.44,0.04,0.04,0,0,0,0.04,0.08,0.03,0,0.15,0,0,0.07,0.09,0.12,0.07,0.09,0.03,0.02,
Dwarf_one_handed_hammer_shield_template_2,light_attack_left,3+,0.76,0.18,0.18,0.04,0.18,0.06,0.02,0.02,0,0,0,0.02,0.06,0.01,0,0.06,0,0,0.01,0.04,0.03,0.01,0.04,0.01,0.00,
Dwarf_one_handed_hammer_shield_template_2,light_attack_right,1,0,0.02,0.02,0.02,0.02,0.22,0.32,0.32,0,0,0,0.18,0.22,0.02,0,0.22,0,0,0.02,0.02,0.19,0.02,0.02,0.02,0.07,
Dwarf_one_handed_hammer_shield_template_2,light_attack_right,2,0.20,0.20,0.20,0.09,0.20,0.44,0.04,0.04,0,0,0,0.04,0.08,0.03,0,0.15,0,0,0.07,0.09,0.12,0.07,0.09,0.03,0.02,
Dwarf_one_handed_hammer_shield_template_2,light_attack_right,3+,0.76,0.18,0.18,0.04,0.18,0.06,0.02,0.02,0,0,0,0.02,0.06,0.01,0,0.06,0,0,0.01,0.04,0.03,0.01,0.04,0.01,0.00,
Dwarf_one_handed_hammer_shield_template_2,light_attack_last,1,0,0.02,0.02,0.02,0.02,0.22,0.32,0.32,0,0,0,0.18,0.22,0.02,0,0.22,0,0,0.02,0.02,0.19,0.02,0.02,0.02,0.07,
Dwarf_one_handed_hammer_shield_template_2,light_attack_last,2,0.20,0.20,0.20,0.09,0.20,0.44,0.04,0.04,0,0,0,0.04,0.08,0.03,0,0.15,0,0,0.07,0.09,0.12,0.07,0.09,0.03,0.02,
Dwarf_one_handed_hammer_shield_template_2,light_attack_last,3+,0.76,0.18,0.18,0.04,0.18,0.06,0.02,0.02,0,0,0,0.02,0.06,0.01,0,0.06,0,0,0.01,0.04,0.03,0.01,0.04,0.01,0.00,
Dwarf_one_handed_hammer_shield_template_2,light_attack_bopp,1,0,0.02,0.02,0.02,0.02,0.22,0.32,0.32,0,0,0,0.18,0.22,0.02,0,0.22,0,0,0.02,0.02,0.19,0.02,0.02,0.02,0.07,
Dwarf_one_handed_hammer_shield_template_2,light_attack_bopp,2,0.20,0.20,0.20,0.09,0.20,0.44,0.04,0.04,0,0,0,0.04,0.08,0.03,0,0.15,0,0,0.07,0.09,0.12,0.07,0.09,0.03,0.02,
Dwarf_one_handed_hammer_shield_template_2,light_attack_bopp,3+,0.76,0.18,0.18,0.04,0.18,0.06,0.02,0.02,0,0,0,0.02,0.06,0.01,0,0.06,0,0,0.01,0.04,0.03,0.01,0.04,0.01,0.00,
